year,place,team_name,wins,losses,ties,win_pct,points_for,points_against,team_logo,standings_type,scraped_at
2022,8,Scrubs,8,7,0,0.533,1692.08,1689.18,https://fantasy.nfl.com/image/1d3519947353eac03b94fe545235dc4e.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.058402
2022,9,cheeseheads,7,8,0,0.467,1711.46,1850.54,https://fantasy.nfl.com/image/08c5227f8396ae564193f8dcbc4c0731.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.058523
2022,10,Wolfpack,6,9,0,0.4,1833.58,1871.0,https://fantasy.nfl.com/image/65b68b08272902af43219004f33e84c1.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.058631
2022,11,The Generous,5,10,0,0.333,1686.14,1975.56,https://fantasy.nfl.com/image/af23f3aef4f1d0fd243574ed78b24ab0.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.058742
2022,12,Mebs Militia,5,10,0,0.333,1532.28,1710.06,https://fantasy.nfl.com/image/3baa273cd5e673bd6b37d3ee69f0bef5.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.058850
2023,1,Woody,11,4,0,0.733,1949.48,1596.7,https://fantasy.nfl.com/image/8656f89c1c02aa21a094b1f1eee4297b.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.607799
2023,2,cheeseheads,10,5,0,0.667,1924.56,1613.62,https://fantasy.nfl.com/image/08c5227f8396ae564193f8dcbc4c0731.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.607962
2023,3,The Generous,10,5,0,0.667,1541.96,1612.24,https://fantasy.nfl.com/image/af23f3aef4f1d0fd243574ed78b24ab0.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.608115
2023,4,Pels,9,6,0,0.6,1845.6,1673.06,https://fantasy.nfl.com/image/d1eab0977fdc7c0a43ffbe8d6d6af36d.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.608266
2023,5,Mebs Militia,9,6,0,0.6,1785.26,1754.56,https://fantasy.nfl.com/image/3baa273cd5e673bd6b37d3ee69f0bef5.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.608411
2023,6,The Brotherhood,9,6,0,0.6,1782.1,1731.38,https://fantasy.nfl.com/image/483ab3f684e3597968525b888fef36a8.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.608557
