year,week,week_type,team1_name,team1_score,team2_name,team2_score,winner,scraped_at
2021,2,regular,Neutered Wolfpack,150.7,Mebs Militia,188.86,Mebs Militia,2025-12-13T17:02:52.193396
2021,2,regular,Palm Beach Pelicans,115.92,DirtyBirds,129.22,DirtyBirds,2025-12-13T17:02:52.193834
2021,3,regular,Maggi's Mighty Ducks,149.4,Mebs Militia,167.78,Mebs Militia,2025-12-13T17:02:52.625225
2021,3,regular,Killer Cam,128.94,The Generous,121.48,Killer Cam,2025-12-13T17:02:52.626165
2021,3,regular,Rats,130.64,cheeseheads,100.02,Rats,2025-12-13T17:02:52.626609
2021,3,regular,Neutered Wolfpack,119.34,The Brotherhood,160.72,The Brotherhood,2025-12-13T17:02:52.627033
2021,3,regular,DirtyBirds,119.82,Scrubs,146.84,Scrubs,2025-12-13T17:02:52.627474
2021,3,regular,Woody,151.92,Palm Beach Pelicans,134.52,Woody,2025-12-13T17:02:52.627895
2021,4,regular,DirtyBirds,171.56,Maggi's Mighty Ducks,106.22,DirtyBirds,2025-12-13T17:02:53.053378
2021,4,regular,The Generous,127.66,Rats,124.98,The Generous,2025-12-13T17:02:53.054278
2021,4,regular,Woody,151.92,cheeseheads,93.22,Woody,2025-12-13T17:02:53.054706
2021,4,regular,Neutered Wolfpack,131.22,Scrubs,124.08,Neutered Wolfpack,2025-12-13T17:02:53.055190
2021,4,regular,Mebs Militia,155.84,Killer Cam,104.22,Mebs Militia,2025-12-13T17:02:53.055713
2021,4,regular,Palm Beach Pelicans,177.1,The Brotherhood,154.72,Palm Beach Pelicans,2025-12-13T17:02:53.056200
2021,5,regular,The Generous,156.44,Maggi's Mighty Ducks,109.18,The Generous,2025-12-13T17:02:53.493315
2021,5,regular,DirtyBirds,141.38,The Brotherhood,148.9,The Brotherhood,2025-12-13T17:02:53.494264
2021,5,regular,Woody,174.48,Neutered Wolfpack,161.16,Woody,2025-12-13T17:02:53.494706
2021,5,regular,Killer Cam,157.06,Rats,148.22,Killer Cam,2025-12-13T17:02:53.495137
2021,5,regular,Mebs Militia,216.58,Scrubs,153.72,Mebs Militia,2025-12-13T17:02:53.495561
2021,5,regular,cheeseheads,103.64,Palm Beach Pelicans,172.4,Palm Beach Pelicans,2025-12-13T17:02:53.495980
2021,6,regular,Scrubs,150.6,The Brotherhood,166.52,The Brotherhood,2025-12-13T17:02:53.929533
2021,6,regular,Neutered Wolfpack,122.2,The Generous,137.08,The Generous,2025-12-13T17:02:53.930438
2021,6,regular,Mebs Militia,161.18,Woody,206.9,Woody,2025-12-13T17:02:53.930861
2021,6,regular,Maggi's Mighty Ducks,149.18,Rats,70.0,Maggi's Mighty Ducks,2025-12-13T17:02:53.931289
2021,6,regular,cheeseheads,134.54,DirtyBirds,77.98,cheeseheads,2025-12-13T17:02:53.931712
2021,6,regular,Killer Cam,140.66,Palm Beach Pelicans,151.34,Palm Beach Pelicans,2025-12-13T17:02:53.932136
2021,7,regular,Scrubs,131.7,Woody,163.22,Woody,2025-12-13T17:02:54.357429
2021,7,regular,Rats,136.84,DirtyBirds,106.58,Rats,2025-12-13T17:02:54.358357
2021,7,regular,The Generous,140.54,Palm Beach Pelicans,152.66,Palm Beach Pelicans,2025-12-13T17:02:54.358786
2021,7,regular,Mebs Militia,137.88,The Brotherhood,103.54,Mebs Militia,2025-12-13T17:02:54.359212
2021,7,regular,cheeseheads,97.44,Neutered Wolfpack,150.96,Neutered Wolfpack,2025-12-13T17:02:54.359637
2021,7,regular,Maggi's Mighty Ducks,106.44,Killer Cam,118.54,Killer Cam,2025-12-13T17:02:54.360075
2021,8,regular,Killer Cam,120.96,Woody,129.18,Woody,2025-12-13T17:02:54.807924
2021,8,regular,Mebs Militia,111.96,Rats,80.22,Mebs Militia,2025-12-13T17:02:54.808595
2021,8,regular,Maggi's Mighty Ducks,104.2,Neutered Wolfpack,126.46,Neutered Wolfpack,2025-12-13T17:02:54.808905
2021,8,regular,The Brotherhood,129.56,cheeseheads,96.86,The Brotherhood,2025-12-13T17:02:54.809216
2021,8,regular,Palm Beach Pelicans,123.3,Scrubs,77.22,Palm Beach Pelicans,2025-12-13T17:02:54.809524
2021,8,regular,DirtyBirds,142.64,The Generous,186.0,The Generous,2025-12-13T17:02:54.809834
2021,9,regular,Rats,53.68,Neutered Wolfpack,111.8,Neutered Wolfpack,2025-12-13T17:02:55.214180
2021,9,regular,DirtyBirds,132.02,Killer Cam,120.5,DirtyBirds,2025-12-13T17:02:55.215337
2021,9,regular,Palm Beach Pelicans,108.86,Maggi's Mighty Ducks,119.44,Maggi's Mighty Ducks,2025-12-13T17:02:55.215882
