year,place,team_name,wins,losses,ties,win_pct,points_for,points_against,team_logo,standings_type,scraped_at
2021,9,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:27.755710
2021,10,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:27.755753
2021,11,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:27.755795
2021,12,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:27.755835
2022,1,Maggi's Mighty Ducks,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.333829
2022,2,Pels,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.333882
2022,3,The Ratpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.333915
2022,4,The Brotherhood,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.333946
2022,5,Woody,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.333976
2022,6,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.334005
2022,7,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.334034
2022,8,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.334062
2022,9,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.334090
2022,10,Wolfpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.334119
2022,11,The Generous,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.334147
2022,12,Mebs Militia,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.334177
2023,1,Woody,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.880903
2023,2,The Generous,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.880960
2023,3,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.880994
2023,4,Pels,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881025
2023,5,The Brotherhood,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881056
2023,6,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881086
2023,7,Mebs Militia,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881129
2023,8,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881161
2023,9,The Ratpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881190
2023,10,Wolfpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881238
2023,11,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881267
2023,12,Maggi's Mighty Ducks,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:28.881297
2024,1,Maggi's Mighty Ducks,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423470
2024,2,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423546
2024,3,The Ratpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423590
2024,4,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423631
2024,5,Pels,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423672
2024,6,Woody,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423710
2024,7,The Brotherhood,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423748
2024,8,The Generous,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423785
2024,9,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423823
2024,10,Mebs Militia,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423863
2024,11,Freshie Vice,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423901
2024,12,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:29.423940
